UE_ID,HO_Base,Ping_Base,HOF_Base,RLF_Base,Speed,HO_AI,Ping_AI,HOF_AI,RLF_AI,Route_Len_km,HO_Rate_Base,HO_Rate_AI,Reliability_Base,Reliability_AI,Speed_Bin
79,9,0,1,0,37.7274990293925,5,0,3,0,2.9888979889188407,3.011143248570864,1.6728573603171466,0.9,0.625,Low (<40 km/h)
80,12,1,2,0,22.864705157403566,5,0,2,0,3.121386062229749,3.8444459482938327,1.6018524784557635,0.8571428571428572,0.7142857142857143,Low (<40 km/h)
9,8,0,0,0,71.3493024389179,3,0,1,0,2.142439706065472,3.7340607426902888,1.4002727785088582,1.0,0.75,High (>70 km/h)
81,5,0,0,0,20.08864468458584,3,0,0,1,2.9388012526133256,1.7013739855846854,1.0208243913508113,1.0,0.75,Low (<40 km/h)
82,14,1,1,0,59.50936576920491,1,0,3,2,3.0723106820945536,4.556830818442968,0.32548791560306917,0.9333333333333333,0.16666666666666663,Med (40-70 km/h)
83,4,0,0,0,68.98557869861527,4,0,5,0,2.1891034341683855,1.8272320702468554,1.8272320702468554,1.0,0.4444444444444444,Med (40-70 km/h)
84,14,3,0,0,48.78676796107774,5,0,0,0,2.7096087328600262,5.166797637688015,1.8452848706028626,1.0,1.0,Med (40-70 km/h)
85,7,1,0,0,60.64016968504603,2,0,0,1,2.2226598733524856,3.1493797516764226,0.8998227861932636,1.0,0.6666666666666667,Med (40-70 km/h)
86,13,0,0,0,22.22870538372625,3,0,3,1,2.786576396706423,4.665222893355901,1.0765898984667464,1.0,0.4285714285714286,Low (<40 km/h)
87,10,1,0,0,98.01475563290376,3,0,4,3,2.5416823313210024,3.9344019812273885,1.1803205943682167,1.0,0.30000000000000004,High (>70 km/h)
88,7,1,0,0,29.147707854000977,1,0,3,1,2.4483837641479016,2.859028924510196,0.40843270350145655,1.0,0.19999999999999996,Low (<40 km/h)
89,5,1,0,0,38.2589460378502,8,0,0,1,5.215113964267955,0.9587518190893168,1.534002910542907,1.0,0.8888888888888888,Low (<40 km/h)
90,10,0,0,0,88.38303534368896,8,0,1,1,3.444203427402397,2.903428967185587,2.3227431737484694,1.0,0.8,High (>70 km/h)
10,8,1,0,0,35.7454602920641,4,0,0,0,3.0810319740507244,2.5965326122475005,1.2982663061237503,1.0,1.0,Low (<40 km/h)
91,13,0,0,0,73.44831650188077,7,0,2,1,5.1066429833597935,2.5457037122745874,1.370763537378624,1.0,0.7,High (>70 km/h)
92,11,0,0,1,51.252396839433175,5,0,0,1,2.4020599961680267,4.579402686672335,2.081546675760152,0.9166666666666666,0.8333333333333334,Med (40-70 km/h)
93,14,0,0,0,70.6973087081993,5,0,2,1,2.8975611033151765,4.831649618702511,1.7255891495366111,1.0,0.625,High (>70 km/h)
94,12,1,0,0,91.44798379424452,8,0,0,1,4.632678025084185,2.590294411790454,1.7268629411936358,1.0,0.8888888888888888,High (>70 km/h)
95,14,2,1,1,33.5909484672051,7,0,1,2,3.7948794037473466,3.6891817922264822,1.8445908961132411,0.875,0.7,Low (<40 km/h)
96,17,2,0,0,65.81637679271242,7,0,0,1,5.277157718266212,3.221431101283302,1.3264716299401833,1.0,0.875,Med (40-70 km/h)
97,7,0,0,0,68.31205818456999,4,0,0,1,3.7161835928453244,1.8836528995706578,1.0763730854689473,1.0,0.8,Med (40-70 km/h)
98,12,1,2,0,44.79719199083249,6,0,0,0,3.2410163188568046,3.702542295199775,1.8512711475998875,0.8571428571428572,1.0,Med (40-70 km/h)
99,13,1,1,0,93.45851828755316,6,0,1,0,2.880823212146811,4.512599018636864,2.0827380086016296,0.9285714285714286,0.8571428571428572,High (>70 km/h)
100,9,0,0,1,87.9019373237968,4,0,2,0,2.670570143478128,3.3700668832755225,1.4978075036780099,0.9,0.6666666666666667,High (>70 km/h)
